,2011-01-01,2013-05-26,2013-09-23,2014-05-23,2014-07-14,2015-04-26,2015-05-01,2016-03-29,2016-09-18,index
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,1.0,12655
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,2.0,8628
35,0.0,0.0,0.0,2.0,2.0,2.0,0.0,99.0,2.0,3495
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,3.0,2077
16,0.0,0.0,0.0,0.0,99.0,2.0,0.0,99.0,2.0,1798
11,0.0,0.0,0.0,0.0,99.0,1.0,0.0,99.0,1.0,1634
23,0.0,0.0,0.0,1.0,1.0,1.0,0.0,99.0,1.0,1614
48,0.0,0.0,0.0,3.0,3.0,3.0,0.0,99.0,3.0,1177
21,0.0,0.0,0.0,0.0,99.0,3.0,0.0,99.0,3.0,989
65,0.0,99.0,2.0,2.0,2.0,2.0,0.0,99.0,2.0,254
12,0.0,0.0,0.0,0.0,99.0,1.0,0.0,99.0,2.0,189
34,0.0,0.0,0.0,2.0,2.0,2.0,0.0,99.0,1.0,155
79,0.0,99.0,3.0,3.0,3.0,3.0,0.0,99.0,3.0,148
36,0.0,0.0,0.0,2.0,2.0,2.0,0.0,99.0,3.0,136
24,0.0,0.0,0.0,1.0,1.0,1.0,0.0,99.0,2.0,116
17,0.0,0.0,0.0,0.0,99.0,2.0,0.0,99.0,3.0,96
38,0.0,0.0,0.0,2.0,99.0,0.0,2.0,2.0,2.0,69
39,0.0,0.0,0.0,2.0,99.0,0.0,2.0,99.0,0.0,61
15,0.0,0.0,0.0,0.0,99.0,2.0,0.0,99.0,1.0,55
13,0.0,0.0,0.0,0.0,99.0,1.0,0.0,99.0,3.0,42
20,0.0,0.0,0.0,0.0,99.0,3.0,0.0,99.0,2.0,38
33,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,38
40,0.0,0.0,0.0,2.0,99.0,0.0,2.0,99.0,1.0,36
60,0.0,99.0,2.0,1.0,1.0,1.0,0.0,99.0,1.0,34
47,0.0,0.0,0.0,3.0,3.0,3.0,0.0,99.0,2.0,29
57,0.0,99.0,1.0,1.0,1.0,1.0,0.0,99.0,1.0,27
44,0.0,0.0,0.0,2.0,99.0,3.0,0.0,99.0,3.0,24
25,0.0,0.0,0.0,1.0,1.0,1.0,0.0,99.0,3.0,21
75,0.0,99.0,3.0,2.0,2.0,2.0,0.0,99.0,2.0,19
51,0.0,0.0,0.0,3.0,99.0,0.0,3.0,99.0,0.0,17
10,0.0,0.0,0.0,0.0,99.0,1.0,0.0,0.0,0.0,17
46,0.0,0.0,0.0,3.0,3.0,3.0,0.0,99.0,1.0,16
22,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,16
72,0.0,99.0,2.0,3.0,3.0,3.0,0.0,99.0,3.0,14
28,0.0,0.0,0.0,1.0,99.0,0.0,1.0,99.0,0.0,13
